,案號,區域,同意票數,不同意票數,有效票數,無效票數,投票數,投票權人數,投票率(%),有效同意票數對投票權人數百分比(%)
0,第15案,臺東縣關山鎮,1032,2442,3474,270,3744,7509,49.86%,13.74%
0,第15案,臺東縣卑南鄉,2112,4952,7064,803,7867,14976,52.53%,14.1%
0,第15案,臺東縣鹿野鄉,896,1965,2861,259,3120,6936,44.98%,12.92%
0,第15案,臺東縣池上鄉,894,2075,2969,336,3305,7162,46.15%,12.48%
0,第15案,臺東縣東河鄉,831,2088,2919,420,3339,7635,43.73%,10.88%
0,第15案,臺東縣長濱鄉,593,1717,2310,401,2711,6484,41.81%,9.15%
0,第15案,臺東縣太麻里鄉,1147,3148,4295,480,4775,9666,49.4%,11.87%
0,第15案,臺東縣大武鄉,636,1670,2306,399,2705,5266,51.37%,12.08%
0,第15案,臺東縣綠島鄉,467,1039,1506,73,1579,3579,44.12%,13.05%
0,第15案,臺東縣海端鄉,373,1226,1599,155,1754,3278,53.51%,11.38%
0,第15案,臺東縣延平鄉,335,1118,1453,146,1599,2930,54.57%,11.43%
0,第15案,臺東縣金峰鄉,454,1176,1630,170,1800,3028,59.45%,14.99%
0,第15案,臺東縣達仁鄉,382,1261,1643,188,1831,3137,58.37%,12.18%
0,第15案,臺東縣蘭嶼鄉,452,1032,1484,117,1601,4181,38.29%,10.81%
0,第15案,澎湖縣,11489,26451,37940,2808,40748,90405,45.07%,12.71%
